sku,produto_site,categoria,preco_venda_brl,custo_alvo_brl,margem_alvo,fornecedor,link_busca_fornecedor,busca_alternativa,status,observacoes,foto_url
MLA-AE-003-JOGO-DE-PI,Jogo de Pincel Detalhamento e Limpeza Automotivo Automotiva Jogo com 5 Peças de Tamanhos Diferentes,Brasil,58.50,29.25,50%,Fornecedor externo,"https://pt.aliexpress.com/item/1005010686350668.html?pvid=32c4d562-8220-4a07-a11c-0868dea9ad56&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000053188805594%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%2045%2C00%21R%24%2029%2C25%21%21%2145.00%2129.25%21%402101e2b017817019652934475ef2cc%2112000053188805594%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894&spm=a2g0o.tm1000013488.9782299870.dundefined&aecmd=true","https://pt.aliexpress.com/item/1005010686350668.html?pvid=32c4d562-8220-4a07-a11c-0868dea9ad56&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000053188805594%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%2045%2C00%21R%24%2029%2C25%21%21%2145.00%2129.25%21%402101e2b017817019652934475ef2cc%2112000053188805594%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894&spm=a2g0o.tm1000013488.9782299870.dundefined&aecmd=true",Para validar,"Validar foto, prazo, avaliacoes e rastreio antes de publicar.",https://ae-pic-a1.aliexpress-media.com/kf/Sd7da43aa29824d5e8d465ff3706df5dcE.png_220x220.png_.webp
MLA-AE-004-MEIAS-DE-F,"Meias de futebol masculinas, Meia poliamida corrida, Meia antiderrapante futebol, Meias de corrida de tubo médio",Brasil,69.52,34.76,50%,Fornecedor externo,"https://pt.aliexpress.com/item/1005008677353864.html?pvid=32c4d562-8220-4a07-a11c-0868dea9ad56&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000051297298046%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%2049%2C34%21R%24%2034%2C76%21%21%2149.34%2134.76%21%402101e2b017817019652934475ef2cc%2112000051297298046%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894%3BpisId%3A5000000209547951&spm=a2g0o.tm1000013488.9782299870.dundefined&aecmd=true","https://pt.aliexpress.com/item/1005008677353864.html?pvid=32c4d562-8220-4a07-a11c-0868dea9ad56&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000051297298046%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%2049%2C34%21R%24%2034%2C76%21%21%2149.34%2134.76%21%402101e2b017817019652934475ef2cc%2112000051297298046%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894%3BpisId%3A5000000209547951&spm=a2g0o.tm1000013488.9782299870.dundefined&aecmd=true",Para validar,"Validar foto, prazo, avaliacoes e rastreio antes de publicar.",https://ae-pic-a1.aliexpress-media.com/kf/S30cfc59b3cac41f2ac2bd36738713a1eq.jpg_220x220q75.jpg_.webp
MLA-AE-005-12-PARES-M,"12 Pares, Meias Curtas de Barco, Meias Masculinas de Algodão, Leves, Respiráveis, Meias Curtas, Contendo Algodão",Brasil,68.48,34.24,50%,Fornecedor externo,"https://pt.aliexpress.com/item/1005007327808769.html?pvid=32c4d562-8220-4a07-a11c-0868dea9ad56&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000051800796202%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%2048%2C55%21R%24%2034%2C24%21%21%2148.55%2134.24%21%402101e2b017817019652934475ef2cc%2112000051800796202%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894%3BpisId%3A5000000209553726&spm=a2g0o.tm1000013488.9782299870.dundefined&aecmd=true","https://pt.aliexpress.com/item/1005007327808769.html?pvid=32c4d562-8220-4a07-a11c-0868dea9ad56&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000051800796202%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%2048%2C55%21R%24%2034%2C24%21%21%2148.55%2134.24%21%402101e2b017817019652934475ef2cc%2112000051800796202%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894%3BpisId%3A5000000209553726&spm=a2g0o.tm1000013488.9782299870.dundefined&aecmd=true",Para validar,"Validar foto, prazo, avaliacoes e rastreio antes de publicar.",https://ae-pic-a1.aliexpress-media.com/kf/Sb12ed65342174b768041ae483cc74e46T.jpg_220x220q75.jpg_.webp
MLA-AE-006-CABO-DE-SI,Cabo de Silicone Líquido Tipo-C 120W 6A Super Rápido para Carregamento Rápido PD 60W USB,Brasil,51.48,25.74,50%,Fornecedor externo,"https://pt.aliexpress.com/item/1005012039820399.html?pvid=32c4d562-8220-4a07-a11c-0868dea9ad56&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000057342505384%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%2039%2C00%21R%24%2025%2C74%21%21%2139.00%2125.74%21%402101e2b017817019652934475ef2cc%2112000057342505384%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894&spm=a2g0o.tm1000013488.9782299870.dundefined&aecmd=true","https://pt.aliexpress.com/item/1005012039820399.html?pvid=32c4d562-8220-4a07-a11c-0868dea9ad56&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000057342505384%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%2039%2C00%21R%24%2025%2C74%21%21%2139.00%2125.74%21%402101e2b017817019652934475ef2cc%2112000057342505384%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894&spm=a2g0o.tm1000013488.9782299870.dundefined&aecmd=true",Para validar,"Validar foto, prazo, avaliacoes e rastreio antes de publicar.",https://ae-pic-a1.aliexpress-media.com/kf/S11822df966324580890dc76392637670w.jpg_220x220q75.jpg_.webp
MLA-AE-007-TABLET-DE-,"Tablet de Desenho LCD para Crianças, Quadro Apagável Recarregável com Caneta, Brinquedo Educacional de Viagem para Meninos e Meninas",Brasil,50.16,25.08,50%,Fornecedor externo,"https://pt.aliexpress.com/item/1005012071177973.html?pvid=32c4d562-8220-4a07-a11c-0868dea9ad56&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000057454796587%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%2038%2C00%21R%24%2025%2C08%21%21%2138.00%2125.08%21%402101e2b017817019652934475ef2cc%2112000057454796587%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894&spm=a2g0o.tm1000013488.9782299870.dundefined&aecmd=true","https://pt.aliexpress.com/item/1005012071177973.html?pvid=32c4d562-8220-4a07-a11c-0868dea9ad56&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000057454796587%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%2038%2C00%21R%24%2025%2C08%21%21%2138.00%2125.08%21%402101e2b017817019652934475ef2cc%2112000057454796587%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894&spm=a2g0o.tm1000013488.9782299870.dundefined&aecmd=true",Para validar,"Validar foto, prazo, avaliacoes e rastreio antes de publicar.",https://ae-pic-a1.aliexpress-media.com/kf/S8e1ddcb7bd2b4831a4aad9cd325e8d15b.jpg_220x220q75.jpg_.webp
MLA-AE-008-MINI-FILTR,Mini Filtro de Café Dobrável Portátil Suporte de Café Reutilizável Suporte de Funil Cestas Gotejador,Brasil,60.00,30.00,50%,Fornecedor externo,"https://pt.aliexpress.com/item/1005010535350859.html?pvid=32c4d562-8220-4a07-a11c-0868dea9ad56&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000052736075493%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%2050%2C00%21R%24%2030%2C00%21%21%2150.00%2130.00%21%402101e2b017817019652934475ef2cc%2112000052736075493%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894&spm=a2g0o.tm1000013488.9782299870.dundefined&aecmd=true","https://pt.aliexpress.com/item/1005010535350859.html?pvid=32c4d562-8220-4a07-a11c-0868dea9ad56&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000052736075493%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%2050%2C00%21R%24%2030%2C00%21%21%2150.00%2130.00%21%402101e2b017817019652934475ef2cc%2112000052736075493%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894&spm=a2g0o.tm1000013488.9782299870.dundefined&aecmd=true",Para validar,"Validar foto, prazo, avaliacoes e rastreio antes de publicar.",https://ae-pic-a1.aliexpress-media.com/kf/S5fc65854826e4cb39044dc3ff21b6b91W.jpg_220x220q75.jpg_.webp
MLA-AE-009-2026-NOVO-,2026 NOVO CarPlay AI Box LED Android 13 SM6115 CPU de 8 núcleos 5G WiFi BT GPS para Netflix YouTube IPTV Sistemas inteligentes de carro sem fio Android Auto CarPlay Smart TV Box,Brasil,1072.58,536.29,50%,Fornecedor externo,"https://pt.aliexpress.com/item/1005007590715451.html?pvid=d36781ca-90b3-4277-b2d7-5618990ef87a&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000041417811692%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%201.119%2C41%21R%24%20536%2C29%21%21%21204.35%2197.90%21%402101e2b017817019652934475ef2cc%2112000041417811692%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894%3BpisId%3A5000000207854335&spm=a2g0o.tm1000013488.7596389280.dundefined&aecmd=true","https://pt.aliexpress.com/item/1005007590715451.html?pvid=d36781ca-90b3-4277-b2d7-5618990ef87a&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000041417811692%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%201.119%2C41%21R%24%20536%2C29%21%21%21204.35%2197.90%21%402101e2b017817019652934475ef2cc%2112000041417811692%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894%3BpisId%3A5000000207854335&spm=a2g0o.tm1000013488.7596389280.dundefined&aecmd=true",Para validar,"Validar foto, prazo, avaliacoes e rastreio antes de publicar.",https://ae-pic-a1.aliexpress-media.com/kf/S026c28eb30f0415d8c905fd19f507b6cA.jpg_220x220q75.jpg_.webp
MLA-AE-010-QCY-MELOBU,"QCY-MeloBuds Pro ANC Fones de ouvido sem fio, Hi-Res, LDAC, Fones de ouvido Bluetooth 5.3, Conexão multiponto, detecção intra-auricular, 46dB, 6 Mic",Brasil,425.62,212.81,50%,Fornecedor externo,"https://pt.aliexpress.com/item/1005007216556408.html?pvid=d36781ca-90b3-4277-b2d7-5618990ef87a&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000045827429204%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%20575%2C12%21R%24%20212%2C81%21%21%21104.99%2138.85%21%402101e2b017817019652934475ef2cc%2112000045827429204%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894%3BpisId%3A5000000207855351&spm=a2g0o.tm1000013488.7596389280.dundefined&aecmd=true","https://pt.aliexpress.com/item/1005007216556408.html?pvid=d36781ca-90b3-4277-b2d7-5618990ef87a&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000045827429204%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%20575%2C12%21R%24%20212%2C81%21%21%21104.99%2138.85%21%402101e2b017817019652934475ef2cc%2112000045827429204%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894%3BpisId%3A5000000207855351&spm=a2g0o.tm1000013488.7596389280.dundefined&aecmd=true",Para validar,"Validar foto, prazo, avaliacoes e rastreio antes de publicar.",https://ae-pic-a1.aliexpress-media.com/kf/S4be28ce0541f4229a3cdde2b010944769.jpg_220x220q75.jpg_.webp
MLA-AE-011-KOOTION-SS,KOOTION SSD M2 NVME 256GB 512GB 1TB 2TB Disco Rígido M.2 2280 Gen3 PCIe 3.0X4 Unidade de Estado Sólido Interna para Laptop Desktop MSI X99,Brasil,1159.98,579.99,50%,Fornecedor externo,"https://pt.aliexpress.com/item/1005009833905142.html?pvid=d36781ca-90b3-4277-b2d7-5618990ef87a&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000058510909718%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%201.115%2C37%21R%24%20579%2C99%21%21%21203.61%21105.87%21%402101e2b017817019652934475ef2cc%2112000058510909718%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894&spm=a2g0o.tm1000013488.7596389280.dundefined&aecmd=true","https://pt.aliexpress.com/item/1005009833905142.html?pvid=d36781ca-90b3-4277-b2d7-5618990ef87a&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000058510909718%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%201.115%2C37%21R%24%20579%2C99%21%21%21203.61%21105.87%21%402101e2b017817019652934475ef2cc%2112000058510909718%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894&spm=a2g0o.tm1000013488.7596389280.dundefined&aecmd=true",Para validar,"Validar foto, prazo, avaliacoes e rastreio antes de publicar.",https://ae-pic-a1.aliexpress-media.com/kf/S26300f622a24483b8e4de82148a570deO.jpg_220x220q75.jpg_.webp
MLA-AE-012-GAMESIR-NO,GameSir Nova Lite Switch Controlador de jogos Hall Effect Gamepad para Nintendo Switch iPhone Android Phone PC,Brasil,239.84,119.92,50%,Fornecedor externo,"https://pt.aliexpress.com/item/1005007093172054.html?pvid=d36781ca-90b3-4277-b2d7-5618990ef87a&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000039380792029%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%20146%2C64%21R%24%20119%2C92%21%21%2126.77%2121.89%21%402101e2b017817019652934475ef2cc%2112000039380792029%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894%3BpisId%3A5000000207257999&spm=a2g0o.tm1000013488.7596389280.dundefined&aecmd=true","https://pt.aliexpress.com/item/1005007093172054.html?pvid=d36781ca-90b3-4277-b2d7-5618990ef87a&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000039380792029%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%20146%2C64%21R%24%20119%2C92%21%21%2126.77%2121.89%21%402101e2b017817019652934475ef2cc%2112000039380792029%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894%3BpisId%3A5000000207257999&spm=a2g0o.tm1000013488.7596389280.dundefined&aecmd=true",Para validar,"Validar foto, prazo, avaliacoes e rastreio antes de publicar.",https://ae-pic-a1.aliexpress-media.com/kf/S8756be701dd649088b27e6f6e25e248fj.png_220x220.png_.webp
MLA-AE-013-QCY-MELOBU,Qcy melobuds pro anc fones de ouvido sem fio bluetooth 46db híbrido anc hi-res ldac bluetooth 5.3 6 microfone 34h playtime,Brasil,439.32,219.66,50%,Fornecedor externo,"https://pt.aliexpress.com/item/1005007259542837.html?pvid=d36781ca-90b3-4277-b2d7-5618990ef87a&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000045832096423%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%20591%2C83%21R%24%20219%2C66%21%21%21108.04%2140.10%21%402101e2b017817019652934475ef2cc%2112000045832096423%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894%3BpisId%3A5000000207855351&spm=a2g0o.tm1000013488.7596389280.dundefined&aecmd=true","https://pt.aliexpress.com/item/1005007259542837.html?pvid=d36781ca-90b3-4277-b2d7-5618990ef87a&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000045832096423%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%20591%2C83%21R%24%20219%2C66%21%21%21108.04%2140.10%21%402101e2b017817019652934475ef2cc%2112000045832096423%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894%3BpisId%3A5000000207855351&spm=a2g0o.tm1000013488.7596389280.dundefined&aecmd=true",Para validar,"Validar foto, prazo, avaliacoes e rastreio antes de publicar.",https://ae-pic-a1.aliexpress-media.com/kf/S2bb6cf003c9e41a7a686821a28a84d08x.jpg_220x220q75.jpg_.webp
MLA-AE-014-2-PECAS-SH,"2 peças, Short esportivo feminino，Academia short，Calças Femininas de Ioga Com Controle de Barriga E bumbum",Brasil,64.90,32.45,50%,Fornecedor externo,"https://pt.aliexpress.com/item/1005008851916348.html?pvid=d36781ca-90b3-4277-b2d7-5618990ef87a&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000049462893856%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%2051%2C87%21R%24%2032%2C45%21%21%2151.87%2132.45%21%402101e2b017817019652934475ef2cc%2112000049462893856%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894%3BpisId%3A5000000209558309&spm=a2g0o.tm1000013488.7596389280.dundefined&aecmd=true","https://pt.aliexpress.com/item/1005008851916348.html?pvid=d36781ca-90b3-4277-b2d7-5618990ef87a&pdp_ext_f=%7B%22ship_from%22:%22BR%22,%22sku_id%22:%2212000049462893856%22%7D&scm=1007.50991.440319.0&scm-url=1007.50991.440319.0&scm_id=1007.50991.440319.0&pdp_npi=6%40dis%21BRL%21R%24%2051%2C87%21R%24%2032%2C45%21%21%2151.87%2132.45%21%402101e2b017817019652934475ef2cc%2112000049462893856%21gdf%21BR%213073886609%21X%211%210%21n_tag%3A-29919%3Bd%3Afe29c9c9%3Bm03_new_user%3A-29894%3BpisId%3A5000000209558309&spm=a2g0o.tm1000013488.7596389280.dundefined&aecmd=true",Para validar,"Validar foto, prazo, avaliacoes e rastreio antes de publicar.",https://ae-pic-a1.aliexpress-media.com/kf/S8ac75b39bbe84d6c83b4e67c638336dev.jpg_220x220q75.jpg_.webp
